Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
125,Santi Aldama,24,MEM,PF,55,14,25.2,5.0,10.2,.488,1.8,4.9,.377,3.1,5.3,.590,.578,1.0,1.4,.692,1.6,5.1,6.6,2.9,0.8,0.5,1.0,1.0,12.8,,aldamsa01
126,Malcolm Brogdon,32,WAS,PG,24,13,23.5,4.3,10.0,.433,0.7,2.3,.286,3.7,7.7,.478,.467,3.4,3.8,.880,0.9,2.9,3.8,4.1,0.5,0.2,1.6,1.3,12.7,,brogdma01
127,Scoot Henderson,20,POR,PG,64,10,26.6,4.4,10.4,.420,1.6,4.5,.358,2.8,5.9,.466,.496,2.4,3.1,.765,0.8,2.2,3.0,5.0,1.1,0.2,2.7,2.8,12.7,,hendesc01
128,Brook Lopez,36,MIL,C,69,69,31.8,4.7,9.5,.497,1.8,4.8,.373,3.0,4.8,.622,.590,1.4,1.7,.846,1.4,3.6,5.0,1.7,0.7,1.9,1.0,2.2,12.7,,lopezbr01
129,Jaden McDaniels,24,MIN,PF,72,72,32.2,5.0,10.3,.485,1.3,3.9,.344,3.7,6.5,.570,.550,1.3,1.6,.832,1.6,4.3,6.0,2.1,1.4,0.9,1.1,2.8,12.7,,mcdanja02
130,Alex Sarr,19,WAS,C,55,55,26.9,4.7,11.9,.396,1.6,5.0,.327,3.1,6.9,.446,.465,1.6,2.4,.664,2.0,4.7,6.7,2.3,0.7,1.5,1.5,2.2,12.7,,sarral01
131,Keldon Johnson,25,SAS,SF,67,0,23.7,4.7,9.7,.479,1.2,3.6,.331,3.5,6.2,.565,.540,2.0,2.6,.769,1.3,3.3,4.6,1.6,0.7,0.3,0.9,1.5,12.5,,johnske04
132,Bilal Coulibaly,20,WAS,SF,59,59,33.0,4.5,10.6,.421,1.1,3.8,.281,3.4,6.8,.500,.472,2.3,3.1,.746,1.5,3.4,5.0,3.4,1.3,0.7,2.1,2.4,12.3,,coulibi01
133,Ayo Dosunmu,25,CHI,SG,46,26,30.3,4.8,9.8,.492,1.3,4.1,.328,3.5,5.7,.612,.561,1.3,1.7,.785,0.6,2.9,3.5,4.5,0.9,0.4,1.5,2.3,12.3,,dosunay01
134,Daniel Gafford,26,DAL,C,51,28,21.9,5.0,7.1,.699,0.0,0.0,,5.0,7.1,.699,.699,2.4,3.4,.699,2.7,4.1,6.9,1.4,0.4,1.9,1.2,2.7,12.3,,gaffoda01
135,Keegan Murray,24,SAC,PF,67,67,34.7,4.8,10.8,.441,2.0,5.8,.335,2.8,5.0,.565,.531,0.8,1.0,.836,2.0,4.8,6.8,1.5,0.8,0.9,0.8,2.6,12.3,,murrake02
136,Tari Eason,23,HOU,PF,49,13,25.2,4.8,9.8,.490,1.1,3.2,.346,3.7,6.6,.561,.547,1.5,1.9,.779,2.3,4.1,6.3,1.4,1.8,0.9,1.2,2.4,12.2,,easonta01
137,Khris Middleton,33,2TM,SF,35,19,23.1,4.4,9.2,.480,1.3,3.7,.367,3.1,5.6,.554,.553,1.9,2.2,.857,0.4,3.5,3.8,4.1,0.9,0.2,1.6,2.1,12.1,,middlkh01
137,Khris Middleton,33,MIL,SF,23,7,23.2,4.7,9.2,.512,1.5,3.7,.407,3.2,5.4,.584,.595,1.7,2.0,.848,0.2,3.5,3.7,4.4,0.7,0.2,1.6,2.3,12.6,,middlkh01
137,Khris Middleton,33,WAS,SF,12,12,22.8,3.9,9.3,.420,1.0,3.5,.286,2.9,5.8,.500,.473,2.3,2.6,.871,0.7,3.4,4.1,3.4,1.3,0.3,1.5,1.7,11.1,,middlkh01
138,Zaccharie Risacher,19,ATL,SF,64,62,24.6,4.5,10.2,.448,1.6,4.5,.353,3.0,5.7,.522,.525,1.4,2.0,.720,1.2,2.5,3.7,1.2,0.8,0.5,1.3,1.9,12.1,,risacza01
139,Jabari Smith Jr.,21,HOU,PF,50,39,30.3,4.2,9.7,.435,1.7,4.8,.357,2.5,4.9,.512,.524,1.9,2.3,.812,1.8,4.7,6.5,1.0,0.4,0.8,1.1,2.2,12.1,,smithja05
140,Ty Jerome,27,CLE,SG,66,2,19.7,4.3,8.5,.506,1.5,3.5,.423,2.8,5.0,.565,.594,1.8,2.1,.865,0.7,1.8,2.5,3.3,1.2,0.0,1.3,1.5,12.0,,jeromty01
141,Daeqwon Plowden,26,ATL,SG,2,0,16.5,4.0,5.0,.800,3.0,4.0,.750,1.0,1.0,1.000,1.100,1.0,1.0,1.000,1.5,1.0,2.5,0.0,0.0,0.0,0.5,2.5,12.0,,plowdda01
142,Caris LeVert,30,2TM,SG,54,3,24.9,4.3,9.1,.470,1.7,4.4,.386,2.6,4.7,.549,.563,1.6,2.2,.702,0.6,2.5,3.1,3.5,0.9,0.5,1.2,1.5,11.8,,leverca01
142,Caris LeVert,30,CLE,SF,38,3,23.8,3.6,7.8,.453,1.6,3.9,.405,2.0,3.9,.500,.554,1.5,2.2,.699,0.6,2.2,2.8,3.7,0.9,0.5,1.3,1.3,10.2,,leverca01
142,Caris LeVert,30,ATL,SG,16,0,27.7,6.0,12.1,.497,1.9,5.5,.352,4.1,6.6,.619,.578,1.7,2.4,.711,0.6,3.1,3.7,3.0,0.9,0.6,0.9,2.1,15.6,,leverca01
143,Harrison Barnes,32,SAS,PF,70,70,27.1,4.1,8.1,.506,1.8,4.1,.426,2.3,3.9,.591,.615,1.9,2.4,.778,1.3,2.5,3.8,1.7,0.3,0.2,0.6,0.9,11.8,,barneha02
144,Donte DiVincenzo,28,MIN,SG,53,10,26.5,4.0,9.6,.418,2.8,7.2,.394,1.2,2.4,.488,.565,0.9,1.1,.783,0.5,3.2,3.7,3.7,1.2,0.2,1.5,1.8,11.8,,divindo01
145,Aaron Wiggins,26,OKC,SG,70,23,22.7,4.6,9.3,.491,1.7,4.4,.390,2.9,4.9,.581,.583,0.8,1.0,.826,1.1,2.7,3.8,1.7,0.8,0.3,0.8,1.3,11.7,,wiggiaa01
146,Jalen Duren,21,DET,C,69,69,26.0,4.8,6.8,.699,0.0,0.0,,4.8,6.8,.699,.699,2.1,3.0,.683,3.5,6.8,10.3,2.5,0.7,1.1,1.8,3.3,11.6,,durenja01
147,Corey Kispert,25,WAS,SF,61,0,26.3,4.2,9.3,.451,2.0,5.4,.364,2.2,3.9,.574,.558,1.2,1.4,.852,0.6,2.4,3.0,1.7,0.4,0.2,1.0,1.6,11.6,,kispeco01
148,Jeremy Sochan,21,SAS,PF,50,21,25.5,4.8,8.7,.549,0.5,1.6,.329,4.3,7.1,.600,.580,1.5,2.2,.682,2.4,4.3,6.7,2.4,0.8,0.5,1.6,2.4,11.6,,sochaje01
149,Isaiah Hartenstein,26,OKC,C,49,46,28.3,5.0,8.7,.572,0.0,0.3,.000,5.0,8.4,.595,.572,1.4,2.1,.667,3.0,8.1,11.1,3.9,0.8,1.1,1.8,3.0,11.4,,harteis01
150,Walker Kessler,23,UTA,C,55,55,30.1,4.9,7.3,.673,0.1,0.6,.156,4.8,6.7,.717,.679,1.4,2.7,.531,4.6,7.7,12.3,1.7,0.6,2.4,1.5,2.2,11.3,,kesslwa01
151,Aaron Nesmith,25,IND,SF,34,26,25.1,4.0,8.1,.500,1.8,4.2,.420,2.3,3.9,.588,.609,1.5,1.6,.911,0.7,3.1,3.8,1.4,0.7,0.4,0.9,2.6,11.3,,nesmiaa01
152,Buddy Hield,32,GSW,SG,71,22,22.9,4.0,9.7,.417,2.5,6.7,.370,1.5,3.0,.524,.545,0.7,0.8,.814,0.6,2.6,3.2,1.7,0.9,0.3,1.2,1.6,11.2,,hieldbu01
153,Terry Rozier,30,MIA,PG,59,23,26.6,4.1,10.3,.396,1.5,5.0,.300,2.6,5.3,.486,.469,1.5,1.8,.857,0.7,3.1,3.8,2.7,0.6,0.2,1.3,1.2,11.2,,roziete01
154,Bogdan Bogdanović,32,2TM,SG,43,4,25.4,4.0,9.4,.421,2.0,5.7,.344,2.0,3.8,.537,.525,1.1,1.3,.870,0.4,2.6,3.0,2.6,0.8,0.2,1.5,2.3,11.0,,bogdabo01
154,Bogdan Bogdanović,32,ATL,SG,24,0,24.9,3.5,9.3,.371,1.8,6.1,.301,1.6,3.3,.500,.469,1.3,1.4,.882,0.5,2.3,2.8,2.0,0.8,0.3,1.5,2.4,10.0,,bogdabo01
154,Bogdan Bogdanović,32,LAC,SG,19,4,26.1,4.6,9.6,.484,2.1,5.2,.408,2.5,4.4,.571,.593,0.9,1.1,.850,0.4,3.0,3.4,3.3,0.7,0.2,1.5,2.3,12.3,,bogdabo01
155,Jonas Valančiūnas,32,2TM,C,69,21,20.0,4.5,8.3,.546,0.1,0.5,.229,4.4,7.8,.567,.553,1.9,2.1,.871,2.5,5.7,8.2,2.2,0.5,0.7,1.6,2.2,11.0,,valanjo01
155,Jonas Valančiūnas,32,WAS,C,49,12,20.1,4.7,8.6,.547,0.1,0.6,.259,4.6,8.1,.567,.556,1.9,2.2,.896,2.4,5.8,8.2,2.2,0.4,0.6,1.8,2.0,11.5,,valanjo01
155,Jonas Valančiūnas,32,SAC,C,20,9,20.0,4.1,7.6,.543,0.1,0.4,.125,4.1,7.2,.566,.546,1.7,2.1,.805,2.7,5.5,8.2,2.2,0.6,0.9,1.2,2.9,9.9,,valanjo01
156,Toumani Camara,24,POR,PF,69,69,32.9,4.1,8.9,.459,1.6,4.3,.378,2.4,4.6,.535,.550,1.2,1.7,.724,2.3,3.6,5.8,2.2,1.5,0.7,1.4,3.0,11.0,,camarto01
157,Spencer Dinwiddie,31,DAL,PG,69,22,26.4,3.6,8.5,.420,1.4,4.1,.336,2.2,4.4,.498,.501,2.5,3.0,.814,0.2,2.2,2.4,4.0,0.9,0.2,1.2,1.5,11.0,,dinwisp01
158,Duncan Robinson,30,MIA,SF,68,35,24.4,3.9,9.0,.434,2.5,6.5,.387,1.4,2.5,.560,.575,0.6,0.7,.880,0.2,2.0,2.3,2.5,0.6,0.1,1.2,1.9,11.0,,robindu01
159,Rudy Gobert,32,MIN,C,62,62,32.7,4.2,6.4,.657,0.0,0.0,,4.2,6.4,.657,.657,2.5,3.6,.684,3.5,6.8,10.3,1.8,0.8,1.5,1.3,2.4,10.9,,goberru01
160,Jordan Hawkins,22,NOP,SG,54,7,23.5,3.7,9.9,.378,2.0,5.9,.339,1.7,4.0,.435,.478,1.4,1.7,.830,0.4,2.3,2.7,1.2,0.6,0.4,1.0,0.9,10.9,,hawkijo01
161,Jrue Holiday,34,BOS,PG,54,54,30.5,4.1,9.2,.443,1.7,5.0,.336,2.4,4.2,.570,.534,1.1,1.2,.906,1.2,3.1,4.3,3.8,1.1,0.5,1.4,1.7,10.9,,holidjr01
162,Gary Trent Jr.,26,MIL,SG,63,7,25.1,3.8,8.7,.437,2.4,5.6,.420,1.4,3.0,.468,.573,0.9,1.1,.851,0.3,2.0,2.3,1.2,1.0,0.1,0.6,1.7,10.8,,trentga02
163,Grayson Allen,29,PHO,SG,53,3,24.8,3.4,7.6,.450,2.4,5.6,.434,1.0,2.0,.495,.611,1.5,1.8,.811,0.5,2.6,3.1,2.2,0.9,0.4,1.1,1.5,10.7,,allengr01
164,Brandon Boston Jr.,23,NOP,SG,42,10,23.6,4.0,9.1,.436,1.2,3.3,.350,2.8,5.7,.485,.500,1.6,2.0,.788,0.7,2.5,3.2,2.2,1.3,0.2,1.2,1.7,10.7,,bostobr01
165,Nikola Jović,21,MIA,PF,46,10,25.1,3.7,8.2,.456,1.7,4.6,.371,2.0,3.6,.563,.560,1.6,1.9,.828,0.6,3.3,3.9,2.8,0.8,0.3,1.3,1.8,10.7,,jovicni01
166,Guerschon Yabusele,29,PHI,C,65,38,26.7,3.9,7.8,.502,1.5,3.8,.386,2.5,4.0,.611,.595,1.4,1.9,.727,1.9,3.7,5.6,2.0,0.8,0.3,1.3,2.4,10.7,,yabusgu01
167,Jaylen Wells,21,MEM,SG,71,66,25.8,3.7,8.7,.427,1.8,5.0,.357,1.9,3.7,.523,.530,1.3,1.6,.810,1.1,2.2,3.3,1.7,0.5,0.1,0.9,1.8,10.6,,wellsja01
168,Tyus Jones,28,PHO,PG,70,57,27.9,3.8,8.5,.447,2.1,5.0,.423,1.7,3.5,.482,.572,0.7,0.8,.891,0.5,1.9,2.4,5.6,0.9,0.1,1.2,0.9,10.5,,jonesty01
169,Brandin Podziemski,21,GSW,SG,53,22,25.8,3.9,9.2,.431,1.5,4.4,.340,2.4,4.7,.516,.513,1.1,1.5,.756,1.0,3.9,4.9,3.3,1.1,0.2,1.1,1.5,10.5,,podzibr01
170,Derrick Jones Jr.,27,LAC,SF,66,52,24.7,4.1,7.8,.526,1.0,2.8,.367,3.1,5.0,.618,.593,1.1,1.6,.712,1.2,2.2,3.5,0.8,1.0,0.4,0.9,2.0,10.4,,jonesde02
171,Grant Williams,26,CHO,PF,16,7,29.9,3.4,7.7,.439,1.7,4.6,.365,1.7,3.1,.551,.549,1.9,2.3,.838,1.1,4.0,5.1,2.3,1.1,0.8,1.8,2.9,10.4,,willigr01
172,Tim Hardaway Jr.,32,DET,SG,67,67,27.7,3.4,8.5,.399,2.0,5.7,.359,1.3,2.8,.481,.519,1.5,1.8,.831,0.3,2.2,2.4,1.6,0.5,0.1,0.7,1.2,10.3,,hardati02
173,Herbert Jones,26,NOP,SF,20,20,32.4,3.8,8.6,.436,1.1,3.6,.306,2.7,5.0,.530,.500,1.7,2.0,.825,1.1,2.8,3.9,3.3,1.9,0.5,1.8,3.3,10.3,,joneshe01
174,De'Anthony Melton,26,GSW,SG,6,2,20.2,3.7,9.0,.407,2.2,5.8,.371,1.5,3.2,.474,.528,0.8,1.3,.625,1.0,2.3,3.3,2.8,1.2,0.3,1.7,3.0,10.3,,meltode01
175,Andrew Nembhard,25,IND,SG,54,54,29.0,3.9,8.3,.465,0.8,2.6,.315,3.0,5.6,.536,.516,1.7,2.2,.783,0.5,2.7,3.1,5.1,1.2,0.2,1.9,2.4,10.3,,nembhan01
176,Obi Toppin,26,IND,PF,67,1,19.5,3.9,7.3,.530,1.3,3.6,.353,2.6,3.8,.697,.616,1.2,1.5,.804,0.7,3.3,4.1,1.6,0.6,0.3,0.9,1.3,10.3,,toppiob01
177,Ziaire Williams,23,BRK,SF,55,37,24.9,3.5,8.4,.416,1.7,4.8,.347,1.8,3.6,.508,.515,1.6,2.0,.824,1.1,3.7,4.8,1.4,1.0,0.4,1.0,2.5,10.3,,willizi02
178,Keon Johnson,22,BRK,SG,69,46,24.1,3.7,9.9,.377,1.6,5.1,.307,2.2,4.8,.452,.456,1.2,1.6,.759,0.9,2.9,3.7,2.0,1.1,0.4,1.3,2.6,10.2,,johnske07
179,Ochai Agbaji,24,TOR,SG,57,41,27.0,4.0,8.0,.499,1.5,3.8,.393,2.5,4.2,.593,.591,0.5,0.8,.689,0.9,2.8,3.7,1.5,0.8,0.5,0.8,1.9,10.0,,agbajoc01
180,Chris Boucher,32,TOR,PF,50,0,17.2,3.6,7.4,.492,1.4,3.9,.363,2.2,3.5,.633,.586,1.4,1.7,.782,1.4,3.1,4.5,0.7,0.5,0.5,0.6,1.4,10.0,,bouchch01
181,Nic Claxton,25,BRK,C,62,54,27.4,4.4,8.1,.547,0.0,0.3,.063,4.4,7.8,.563,.548,1.2,2.2,.522,2.3,5.3,7.6,2.3,0.9,1.5,1.3,2.2,10.0,,claxtni01
182,Amir Coffey,27,LAC,SG,69,13,25.0,3.5,7.3,.472,1.4,3.5,.410,2.0,3.8,.531,.571,1.6,1.8,.896,0.5,1.8,2.3,1.1,0.6,0.1,0.6,1.7,10.0,,coffeam01
183,N'Faly Dante,23,HOU,C,1,0,19.0,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,.667,2.0,3.0,.667,4.0,5.0,9.0,1.0,0.0,2.0,1.0,4.0,10.0,,nfalyda01
184,Moses Moody,22,GSW,SG,63,23,21.8,3.4,7.7,.442,1.7,4.6,.383,1.6,3.1,.528,.556,1.5,1.9,.798,0.7,1.8,2.5,1.3,0.7,0.4,0.7,1.5,10.0,,moodymo01
185,Brice Sensabaugh,21,UTA,SF,61,8,18.8,3.7,7.9,.461,1.9,4.7,.408,1.7,3.2,.538,.582,0.8,0.9,.907,0.6,2.2,2.7,1.3,0.6,0.1,1.4,1.4,10.0,,sensabr01
186,Georges Niang,31,2TM,PF,69,2,21.9,3.6,7.7,.468,2.1,5.0,.408,1.6,2.7,.581,.601,0.6,0.8,.800,0.7,3.1,3.7,1.4,0.4,0.2,1.0,2.6,9.9,,niangge01
186,Georges Niang,31,CLE,PF,51,1,20.6,3.3,6.8,.477,1.8,4.4,.400,1.5,2.4,.618,.606,0.5,0.6,.793,0.7,3.0,3.7,1.3,0.3,0.1,0.9,2.5,8.7,,niangge01
186,Georges Niang,31,ATL,PF,18,1,25.3,4.7,10.3,.452,2.9,6.8,.423,1.8,3.5,.508,.591,1.2,1.4,.808,0.7,3.1,3.8,1.8,0.4,0.3,1.0,2.7,13.4,,niangge01
187,Luguentz Dort,25,OKC,SF,63,63,29.1,3.5,8.3,.427,2.3,5.7,.397,1.3,2.6,.494,.564,0.5,0.7,.750,1.3,2.8,4.2,1.6,1.1,0.6,0.7,3.0,9.9,,dortlu01
188,Nick Richards,27,2TM,C,49,36,22.0,3.7,6.2,.595,0.0,0.0,.000,3.7,6.2,.599,.595,2.2,3.0,.738,2.5,5.9,8.4,1.0,0.2,1.1,1.4,2.4,9.7,,richani01
188,Nick Richards,27,CHO,C,21,9,21.0,3.0,5.4,.561,0.0,0.0,.000,3.0,5.4,.566,.561,2.8,4.1,.678,2.4,5.1,7.5,1.3,0.3,1.2,1.6,2.3,8.9,,richani01
188,Nick Richards,27,PHO,C,28,27,22.8,4.2,6.9,.615,0.0,0.0,.000,4.2,6.8,.618,.615,1.8,2.2,.823,2.6,6.6,9.1,0.7,0.1,0.9,1.3,2.6,10.3,,richani01
189,Justin Edwards,21,PHI,SF,37,19,25.5,3.7,8.0,.461,1.5,4.3,.361,2.2,3.8,.576,.557,0.8,1.1,.700,1.0,2.1,3.1,1.5,0.8,0.4,1.0,2.2,9.7,,edwarju01
190,Trendon Watford,24,BRK,PF,33,0,19.2,3.5,7.6,.464,0.6,2.0,.318,2.9,5.6,.516,.506,2.1,2.7,.756,0.8,2.5,3.3,2.3,0.7,0.2,1.7,2.2,9.7,,watfotr01
191,Jose Alvarado,26,NOP,PG,48,15,23.9,3.4,8.4,.402,2.0,5.3,.379,1.4,3.1,.440,.521,0.8,1.0,.800,0.4,1.9,2.3,4.6,1.3,0.3,1.2,1.7,9.6,,alvarjo01
192,Cole Anthony,24,ORL,PG,61,22,18.6,3.5,8.3,.423,1.1,3.2,.349,2.4,5.1,.470,.490,1.4,1.7,.821,0.7,2.3,3.0,2.9,0.7,0.4,1.6,2.3,9.6,,anthoco01
193,Julian Champagnie,23,SAS,SF,70,26,23.1,3.3,7.8,.417,2.1,5.7,.366,1.2,2.1,.553,.550,1.0,1.1,.895,0.9,2.9,3.8,1.3,0.8,0.4,0.9,1.4,9.6,,champju02
194,Isaiah Joe,25,OKC,SG,64,13,21.1,3.3,7.8,.427,2.4,6.1,.397,0.9,1.7,.538,.583,0.5,0.7,.795,0.5,2.0,2.6,1.5,0.6,0.1,0.5,1.6,9.6,,joeis01
195,Luke Kennard,28,MEM,SG,56,11,22.8,3.4,7.1,.485,1.9,4.3,.445,1.5,2.8,.544,.619,0.8,0.9,.885,0.6,2.2,2.8,3.4,0.8,0.1,1.1,0.9,9.6,,kennalu01
196,Dalton Knecht,23,LAL,SF,67,15,20.6,3.5,7.6,.460,1.7,4.7,.371,1.8,3.0,.601,.573,0.9,1.2,.750,0.5,2.5,3.0,0.9,0.4,0.1,0.5,1.3,9.6,,knechda01
197,Max Christie,21,2TM,SG,67,35,27.3,3.2,7.4,.431,1.5,4.0,.373,1.7,3.4,.500,.532,1.6,1.9,.849,0.5,2.8,3.3,1.9,0.8,0.4,1.0,1.6,9.5,,chrisma02
197,Max Christie,21,LAL,SG,46,25,25.1,2.8,6.3,.444,1.3,3.5,.368,1.5,2.7,.544,.549,1.6,1.9,.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,,chrisma02
197,Max Christie,21,DAL,SG,21,10,32.1,4.1,10.0,.412,2.0,5.1,.380,2.2,4.9,.447,.509,1.6,1.9,.846,0.5,4.1,4.6,3.0,1.0,0.3,1.5,1.8,11.8,,chrisma02
198,Kevin Porter Jr.,24,2TM,SG,64,2,18.8,3.7,8.4,.441,0.7,2.2,.303,3.0,6.1,.491,.481,1.4,1.9,.734,0.5,3.0,3.5,3.2,1.0,0.2,1.8,1.5,9.5,,porteke02
198,Kevin Porter Jr.,24,LAC,SG,45,2,19.6,3.8,9.0,.423,0.6,2.4,.245,3.2,6.7,.485,.455,1.1,1.7,.645,0.6,2.9,3.6,3.2,1.0,0.2,1.9,1.6,9.3,,porteke02
198,Kevin Porter Jr.,24,MIL,SG,19,0,16.9,3.4,6.7,.500,0.9,1.9,.472,2.5,4.8,.511,.566,2.2,2.5,.875,0.2,3.1,3.3,3.1,1.1,0.1,1.7,1.5,9.8,,porteke02
199,Nick Smith Jr.,20,CHO,SG,52,25,22.6,3.7,9.3,.393,1.7,5.0,.331,2.0,4.3,.466,.482,0.6,0.6,.909,0.2,1.8,2.1,2.2,0.3,0.1,1.4,1.3,9.5,,smithni01
200,Ausar Thompson,22,DET,SF,50,39,21.3,3.9,7.2,.550,0.2,0.7,.243,3.8,6.4,.586,.563,1.4,2.3,.619,1.9,3.0,4.8,2.2,1.7,0.5,1.4,2.8,9.5,,thompau01
201,Tosan Evbuomwan,23,BRK,SF,21,0,23.9,3.4,7.8,.433,0.8,2.6,.291,2.6,5.2,.505,.482,1.9,2.5,.755,1.2,2.9,4.0,1.6,0.8,0.3,1.5,1.9,9.4,,evbuoto01
202,Miles McBride,24,NYK,PG,59,8,24.9,3.4,8.4,.407,1.8,4.7,.371,1.7,3.7,.454,.512,0.8,1.0,.817,0.7,1.8,2.5,2.9,0.9,0.3,0.7,1.6,9.4,,mcbrimi01
203,Royce O'Neale,31,PHO,SF,65,19,25.2,3.3,7.7,.434,2.4,5.8,.420,0.9,1.9,.479,.593,0.3,0.4,.731,0.8,4.2,5.0,2.2,1.0,0.5,0.9,2.0,9.4,,onealro01
204,Scotty Pippen Jr.,24,MEM,PG,69,18,20.7,3.4,7.3,.471,1.0,2.7,.371,2.4,4.6,.530,.540,1.5,2.1,.711,0.8,2.5,3.3,4.3,1.3,0.4,1.7,2.4,9.4,,pippesc02
205,Julian Strawther,22,DEN,SG,61,4,22.1,3.4,7.7,.434,1.5,4.3,.357,1.8,3.4,.531,.534,1.1,1.3,.829,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.4,9.4,,strawju01
206,Max Strus,28,CLE,SF,42,29,25.0,3.3,7.5,.435,2.3,5.9,.385,1.0,1.6,.618,.586,0.6,0.7,.867,1.0,3.3,4.3,3.0,0.6,0.2,0.9,2.1,9.4,,strusma01
207,Kevin Huerter,26,2TM,SG,60,22,23.2,3.5,8.4,.415,1.8,5.5,.323,1.7,2.9,.590,.521,0.6,0.8,.733,0.5,2.5,3.0,2.0,1.0,0.4,0.9,1.8,9.3,,huertke01
207,Kevin Huerter,26,SAC,SG,43,15,20.9,3.0,7.2,.413,1.4,4.8,.302,1.5,2.4,.629,.513,0.5,0.7,.714,0.4,2.3,2.8,1.7,0.8,0.4,0.9,1.6,7.9,,huertke01
207,Kevin Huerter,26,CHI,SG,17,7,28.9,4.8,11.4,.418,2.6,7.4,.357,2.1,4.0,.529,.534,0.8,1.0,.765,0.6,2.9,3.5,2.6,1.4,0.4,1.1,2.1,12.9,,huertke01
208,Marcus Smart,30,2TM,PG,30,6,20.5,3.1,7.9,.391,1.5,4.5,.343,1.6,3.5,.452,.487,1.6,2.1,.774,0.6,1.6,2.2,3.5,1.2,0.3,1.7,1.7,9.3,,smartma01
208,Marcus Smart,30,MEM,PG,19,6,21.1,2.8,7.8,.358,1.5,4.7,.322,1.3,3.1,.414,.456,1.6,1.9,.833,0.7,1.5,2.3,3.7,1.2,0.3,1.8,1.6,8.7,,smartma01
208,Marcus Smart,30,WAS,PG,11,0,19.5,3.6,8.2,.444,1.5,4.0,.386,2.1,4.2,.500,.539,1.6,2.4,.692,0.4,1.6,2.0,3.0,1.1,0.3,1.4,1.7,10.5,,smartma01
209,Nickeil Alexander-Walker,26,MIN,SG,72,10,25.1,3.3,7.4,.441,1.7,4.4,.390,1.6,3.0,.516,.557,1.0,1.3,.785,0.6,2.6,3.2,2.5,0.6,0.4,1.2,1.7,9.3,,alexani01
210,Noah Clowney,20,BRK,PF,43,18,22.6,2.9,8.1,.363,1.9,5.7,.336,1.0,2.4,.427,.481,1.4,1.7,.838,0.9,2.9,3.8,0.8,0.5,0.5,1.0,2.3,9.2,,clownno01
211,Zach Edey,22,MEM,C,56,47,20.6,3.8,6.7,.568,0.3,0.8,.356,3.5,5.9,.597,.589,1.3,1.8,.717,3.5,4.1,7.7,0.9,0.5,1.3,1.3,2.6,9.2,,edeyza01
212,Draymond Green,34,GSW,PF,57,55,29.2,3.2,7.5,.428,1.2,3.6,.327,2.1,3.9,.520,.506,1.6,2.3,.682,1.1,5.1,6.2,5.7,1.5,1.1,2.5,3.2,9.2,,greendr01
213,T.J. McConnell,32,IND,PG,67,0,18.0,4.1,8.0,.518,0.2,0.7,.311,3.9,7.3,.537,.531,0.8,1.1,.746,0.5,1.8,2.4,4.5,1.1,0.3,1.4,1.0,9.2,,mccontj01
214,Dante Exum,29,DAL,PG,18,12,19.1,3.3,6.9,.480,1.2,2.6,.447,2.2,4.3,.500,.564,1.3,1.7,.742,0.2,1.4,1.7,2.8,0.7,0.2,1.1,1.7,9.1,,exumda01
215,A.J. Lawson,24,TOR,SG,15,2,18.4,3.1,7.7,.397,1.5,4.3,.354,1.5,3.4,.451,.496,1.4,2.1,.656,0.8,2.4,3.2,0.9,0.3,0.1,0.5,1.8,9.1,,lawsoaj01
216,Dereck Lively II,20,DAL,C,32,25,24.0,3.9,5.5,.701,0.0,0.0,,3.9,5.5,.701,.701,1.4,2.2,.638,3.1,4.8,7.8,2.6,0.5,1.7,1.2,2.9,9.1,,livelde01
217,Svi Mykhailiuk,27,UTA,SF,29,13,20.1,3.2,8.4,.385,1.9,5.7,.337,1.3,2.7,.487,.500,0.7,0.9,.808,0.5,1.9,2.4,1.9,0.6,0.2,1.5,1.3,9.1,,mykhasv01
218,Anthony Black,21,ORL,PG,67,9,23.7,3.1,7.5,.419,0.7,2.3,.312,2.4,5.1,.468,.468,2.0,2.7,.750,0.6,2.1,2.8,3.1,1.0,0.5,1.8,2.1,9.0,,blackan01
219,Bub Carrington,19,WAS,PG,70,45,29.2,3.3,8.5,.395,1.5,4.7,.326,1.8,3.8,.479,.485,0.8,0.9,.831,0.4,3.5,3.9,4.1,0.7,0.2,1.6,2.3,9.0,,carrica01
220,Wendell Carter Jr.,25,ORL,C,58,41,25.9,3.3,7.2,.455,0.5,2.3,.221,2.8,4.9,.563,.490,2.0,2.7,.740,2.2,5.2,7.5,2.1,0.7,0.5,1.1,3.0,9.0,,cartewe01
221,Killian Hayes,23,BRK,PG,6,5,27.0,3.0,7.2,.419,1.3,3.5,.381,1.7,3.7,.455,.512,1.7,2.0,.833,0.8,2.2,3.0,5.2,0.7,0.7,1.5,2.2,9.0,,hayeski01
222,Cam Whitmore,20,HOU,SF,44,1,16.2,3.3,8.0,.420,1.2,3.7,.329,2.1,4.3,.497,.496,1.1,1.5,.738,0.7,2.3,3.0,0.9,0.6,0.3,0.8,0.9,9.0,,whitmca01
