Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
56,Cameron Johnson,28,BRK,PF,54,54,32.0,6.3,13.3,.476,2.9,7.2,.399,3.4,6.0,.569,.585,3.4,3.9,.886,0.9,3.4,4.4,3.2,1.0,0.5,1.7,1.9,19.0,,johnsca02
57,Lauri Markkanen,27,UTA,PF,47,47,31.4,6.3,14.9,.423,2.9,8.5,.346,3.4,6.4,.525,.521,3.4,3.9,.876,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0,,markkla01
58,Alperen Şengün,22,HOU,C,68,68,31.5,7.4,15.0,.497,0.3,1.3,.244,7.1,13.7,.520,.507,3.8,5.5,.686,3.5,7.0,10.5,4.9,1.1,0.8,2.6,2.9,19.0,,sengual01
59,Desmond Bane,26,MEM,SG,59,58,31.7,7.0,14.4,.486,2.3,5.8,.391,4.7,8.6,.550,.565,2.6,3.0,.881,0.9,5.3,6.3,5.4,1.2,0.4,2.5,2.5,18.9,,banede01
60,Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,,johnsja05
61,Julius Randle,30,MIN,PF,59,59,32.1,6.5,13.6,.479,1.5,4.5,.330,5.1,9.1,.553,.534,4.2,5.2,.808,2.2,4.8,7.0,4.6,0.7,0.2,2.9,2.5,18.7,,randlju01
62,Evan Mobley,23,CLE,PF,63,63,30.2,7.2,12.7,.568,1.1,3.0,.372,6.1,9.7,.630,.613,3.1,4.2,.729,2.3,7.0,9.3,3.0,0.8,1.5,2.0,2.0,18.6,,mobleev01
63,Nikola Vučević,34,CHI,C,63,62,31.7,7.6,14.3,.531,1.8,4.5,.404,5.8,9.8,.590,.595,1.6,2.0,.805,2.3,7.8,10.1,3.4,0.8,0.7,1.6,2.3,18.6,,vucevni01
64,Andrew Wiggins,29,2TM,SF,56,56,30.9,6.4,14.1,.453,2.2,5.9,.375,4.2,8.2,.509,.531,3.4,4.4,.770,1.4,3.0,4.4,2.5,1.0,0.8,1.6,1.7,18.4,,wiggian01
64,Andrew Wiggins,29,GSW,SF,43,43,30.1,6.1,13.7,.444,2.2,5.8,.379,3.9,7.9,.491,.524,3.2,4.2,.777,1.5,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.6,,wiggian01
64,Andrew Wiggins,29,MIA,SF,13,13,33.4,7.4,15.4,.480,2.2,6.2,.363,5.2,9.2,.558,.553,4.0,5.3,.754,1.2,2.8,3.9,3.1,1.1,1.0,2.7,2.0,21.0,,wiggian01
65,Tyrese Haliburton,24,IND,PG,63,63,34.0,6.4,13.8,.466,3.0,7.7,.384,3.5,6.1,.570,.573,2.6,3.0,.862,0.6,3.0,3.6,9.1,1.5,0.6,1.7,1.3,18.4,,halibty01
66,Michael Porter Jr.,26,DEN,SF,69,69,33.6,6.9,13.7,.501,2.5,6.3,.396,4.4,7.5,.589,.591,1.9,2.5,.764,1.8,5.1,7.0,2.1,0.7,0.4,1.3,2.0,18.2,,portemi01
67,Malik Monk,26,SAC,SG,58,45,32.8,6.7,15.0,.444,2.2,6.9,.327,4.4,8.2,.543,.519,2.5,2.8,.872,0.5,3.3,3.8,5.9,1.0,0.7,2.4,2.6,18.1,,monkma01
68,Collin Sexton,26,UTA,SG,56,54,28.1,6.5,13.6,.479,1.8,4.4,.406,4.7,9.2,.514,.544,3.4,3.9,.859,1.0,1.8,2.8,4.2,0.7,0.1,2.6,2.3,18.1,,sextoco01
